,researcher_name,skills
0,"Agostinelli, Forest","{'search', 'artificial intelligence', 'reinforcement learning', 'bioinformatics', 'deep learning'}"
1,"Ahmad, Iftikhar","{'inc ph', 'computer simulation', 'aluminum content', 'semiconductor including', 'high aluminum', 'gallium oxide', 'previous position', 'ph texas', 'boron nitride', 'high power', 'bandgap semiconductor', 'including high', 'power electronic', 'ultra wide', 'novel high', 'universityresearch growth', 'electronic technology', 'boron nitride gallium oxide', 'position senior', 'nitride gallium', 'growth study', 'fabrication novel', 'content algan', 'sensor electronic', 'study ultra', 'fabrication novel high power electronic photonic device', 'inc ph texas tech universityresearch growth study ultra wide bandgap semiconductor including high aluminum content algan', 'computer simulation device', 'senior scientist', 'previous position senior scientist', 'sensor electronic technology', 'wide bandgap', 'simulation device', 'texas tech', 'photonic device', 'electronic photonic', 'tech universityresearch'}"
2,"Alexeev, Oleg S.","{'institute catalysis', 'exafs', 'catalysis considerable', 'cluster aggregate', 'used establish', 'gained technique', 'support interface', 'technique along', 'xrd', 'promoter structure', 'objective program', 'structure active site', 'various experimental', 'intermediate associated', 'site catalyst', 'spectroscopic technique', 'ph', 'adsorbed reactant', 'characterize active', 'structure metal cluster support', 'aggregate objective', 'active site', 'tpr', 'including tpd', 'catalyst adsorbed', 'combination various', 'particle size', 'property metal', 'specie actual', 'place sequence', 'adsorbed specie', 'russiacatalytic process surface take place sequence elementary reaction involving adsorbed reactant', 'catalyst surface', 'condition catalysis', 'chemisorption catalytic', 'boreskov institute catalysis', 'russiacatalytic process', 'establish dependence', 'structure active', 'focused fundamental', 'pursued application', 'xps', 'novosibirsk', 'boreskov institute', 'material spectroscopic', 'influence promoter structure catalytic property supported metal cluster aggregate objective program pursued application combination various experimental method characterization catalytic material spectroscopic technique', 'involving adsorbed', 'used characterize', 'influence promoter', 'fundamental understanding', 'structure metal', 'take place', 'product', 'actual condition', 'catalytic property', 'considerable information', 'property supported', 'metal cluster', 'used characterize active site catalyst adsorbed specie actual condition catalysis considerable information gained technique along chemisorption catalytic data used establish dependence catalytic property metal cluster particle size', 'novosibirsk state', 'program pursued', 'uv visible', 'supported metal', 'cluster support', 'hrtem', 'reaction involving', 'understanding structure', 'method characterization', 'surface goal', 'ftir', 'characterization catalytic', 'associated active', 'along chemisorption', 'surface take', 'sequence elementary', 'application combination', 'russiam', 'structure catalytic', 'process surface', 'cluster particle', 'elementary reaction', 'catalytic material', 'dependence catalytic', 'reaction intermediate', 'data used', 'structure metal support interface', 'metal support', 'reaction intermediate associated active site catalyst surface goal focused fundamental understanding structure metal support interface', 'goal focused', 'information gained', 'experimental method', 'catalytic data'}"
3,"Ali, Mohammod","{'usc july', 'director national', 'sc ph', 'nsf ipa', 'science foundation', 'dhaka received sc ph degree electrical engineering', 'mohammod ali', 'engineering usc', 'intergovernmental personnel', 'sc mohammod ali professor department electrical engineering usc july', 'canada', 'engineering bangladesh', 'dhaka received', 'assignment division', 'bangladesh engineering', 'foundation nsf', 'prof ali', 'ali received', 'department electrical', 'working program', 'ipa intergovernmental', 'engineering technology', 'sc mohammod', 'british columbia', 'program director', 'electrical electronic', 'respectively victoria', 'electrical engineering', 'received sc', 'ali professor', 'personnel act', 'division electrical', 'national science', 'electronic engineering', 'professor department', 'act assignment', 'main streetcolumbia', 'system directorate', 'swearingenroom main streetcolumbia', 'degree electrical', 'engineering prof', 'communication', 'cyber system', 'ph degree', 'ha working program director national science foundation nsf ipa intergovernmental personnel act assignment division electrical', 'swearingenroom main', 'ha working', 'sc electrical', 'directorate engineering', 'cyber system directorate engineering prof ali received sc electrical electronic engineering bangladesh engineering technology'}"
4,"Ammal, Salai C.","{'bharathidasan', 'ammal pdfph', 'cv dr', 'india', 'cv dr ammal pdfph', 'dr ammal'}"
5,"Bakos, Jason D. ","{'high performance', 'computer architecture', 'performance computing', 'reconfigurable computing', 'heterogeneous computing', 'high performance computing', 'embedded system'}"
6,"Banerjee, Sourav ","{'ultrasonics', 'acoustic', 'wave propagation', 'biomedical', 'metamaterials'}"
7,"Bayat, Mahmoud","{'nonlinear vibration', 'structural health', 'health monitoring', 'probabilistic analysis', 'earthquake eng', 'machine learning', 'structural health monitoring'}"
8,"Bayoumi, Abdel-Moez E. ","{'various industry', 'predictive maintenance', 'engineering north', 'ha published', 'mechanical aerospace', 'mechanical material', 'ha received', 'sc bayoumi', 'experience currently', 'strong program', 'prediction mechanical', 'north state', 'bayoumi ha', 'engineering washington', 'industry experience', 'ha year', 'center predictive', 'life prediction', 'year teaching', 'actively involved', 'tribology', 'diagnosis prognosis life prediction mechanical system', 'relation professor', 'national science foundation various industry ha published journal conference paper', 'monitoring system', 'condition based maintenance', 'journal conference', 'sc bayoumi ha year teaching', 'state ha', 'director center', 'professor mechanical', 'project manager hewlett packard company', 'condition based', 'associate dean corporate relation professor mechanical biomedical engineering prior joining usc', 'biomedical', 'activity focused', 'manufacturing process', 'engineering activity', 'digital transformation', 'dean corporate', 'national science', 'wa professor mechanical aerospace engineering north state', 'developing strong', 'engineering prior', 'main streetroom', 'joining usc', 'aerospace center', 'based maintenance', 'prior joining', 'science foundation', 'funding department', 'corporate relation', 'received funding', 'foundation various', 'wa professor', 'washington state', 'transformation dr', 'director mcnair', 'mechanical biomedical', 'material engineering', 'currently director', 'nuclear aerospace', 'published journal', 'hewlett packard', 'industry ha', 'director center predictive maintenance', 'aerospace engineering', 'mechanical system', 'biomedical engineering', 'dr bayoumi', 'mechanical behavior', 'diagnosis prognosis', 'associate dean', 'health monitoring', 'health monitoring system', 'involved developing', 'conference paper', 'nuclear aerospace engineering activity focused mechanical behavior material', 'focused mechanical', 'prognosis life', 'industry experience currently director mcnair aerospace center', 'department energy', 'behavior material', 'department defense', 'ha actively', 'mcnair aerospace', 'program mechanical', 'manager hewlett', 'professor mechanical material engineering washington state ha actively involved developing strong program mechanical', 'digital transformation dr bayoumi ha received funding department defense', 'project manager', 'packard company'}"
9,"Benigni, Andrea","{'sc', 'swearingenroom main', 'swearingenroom main streetcolumbia', 'main streetcolumbia'}"
10,"Berge, Nicole D.","{'room berge', 'stream resource', 'process development', 'production specific', 'lead carbon', 'treatment process', 'solid waste', 'landfill thermochemical', 'berge focus', 'sustainable waste', 'personal care product endocrine disrupting compound bioreactor landfill thermochemical conversion municipal solid waste increasing energy yield waste stream resource recovery waste stream leachate treatment process development subsequent evaluation innovative groundwater remediation technology', 'technique lead', 'yield waste', 'innovative groundwater', 'promote sustainable', 'value added', 'room berge focus improving understanding physical', 'energy generation', 'biological process', 'leachate treatment', 'product endocrine', 'pharmaceutical', 'value added product production specific area exploration fate disposed nanomaterials', 'waste treatment', 'development subsequent', 'energy yield', 'main street', 'waste increasing', 'understanding physical', 'treatment technique', 'added product', 'recovery waste', 'carbon sequestration', 'bioreactor landfill', 'evaluation innovative', 'focus improving', 'exploration fate', 'disrupting compound', 'endocrine disrupting', 'conversion municipal', 'product production', 'area exploration', 'manipulated promote', 'stream leachate', 'chemical', 'biological process manipulated promote sustainable waste treatment technique lead carbon sequestration', 'care product', 'municipal solid', 'specific area', 'remediation technology', 'personal care', 'improving understanding', 'fate disposed', 'groundwater remediation', 'waste stream', 'increasing energy', 'thermochemical conversion', 'subsequent evaluation', 'compound bioreactor', 'resource recovery', 'process manipulated', 'disposed nanomaterials'}"
11,"Besmann, Theodore  M.","{'nuclear fuel', 'fuel waste', 'waste material', 'nuclear fuel waste material'}"
12,"Bischoff, Jeff ","{'mechanic soft', 'soft tissue', 'analysis structural constitutive evolution artificial tissue scaffolding', 'bischoff biomedical', 'passive mechanic', 'modeling growth', 'artificial tissue', 'growth tissue', 'constitutive evolution', 'dr bischoff', 'tissue scaffolding', 'hypertrophic scar', 'theoretical framework modeling growth tissue', 'framework modeling', 'passive mechanic soft tissue', 'testing modeling', 'evolution artificial', 'theoretical framework', 'modeling hypertrophic', 'dr bischoff biomedical engineering', 'biomedical engineering', 'constitutive testing', 'constitutive testing modeling hypertrophic scar', 'structural constitutive', 'analysis structural'}"
13,"Blanchette, James  Otto","{'specific project', 'developing responsive', 'islet cell', 'impact induction', 'pre angiogenic', 'cell cell', 'cell enhance', 'vascularization skiles', 'room main streetcolumbia', 'skiles l', 'orally extending', 'geometry culture', 'therapeutic tissue', 'chemotherapeutics administered', 'dimensional cell', 'instructive material', 'material tracking', 'brougham cook blanchette asc spheroid geometry culture oxygenation differentially impact induction pre angiogenic behavior endothelial cell cell transplantation', 'fall area', 'transplantation mesenchymal', 'stem cell', 'genetic engineering', 'extending proper', 'function pancreatic', 'engineering design', 'blanchette asc', 'asc spheroid', 'angiogenic behavior', 'spectrum chemotherapeutics', 'delivery therapeutic tissue engineering specific project developing responsive delivery system expand spectrum chemotherapeutics administered orally extending proper function pancreatic islet cell following transplantation genetic engineering design instructive hydrogel material tracking hypoxic signaling three dimensional cell aggregate transplantation mesenchymal stem cell enhance vascularization skiles l', 'following transplantation', 'spheroid geometry', 'aggregate transplantation', 'induction pre', 'sc fall', 'cook blanchette', 'area design', 'hanna', 'room main', 'system expand', 'proper function', 'delivery therapeutic', 'instructive hydrogel', 'transplantation genetic', 'design instructive', 'cell transplantation', 'cell instructive', 'delivery system', 'behavior endothelial', 'engineering specific', 'main streetcolumbia', 'sc fall area design cell instructive material', 'hypoxic signaling', 'mesenchymal stem', 'differentially impact', 'endothelial cell', 'project developing', 'tissue engineering', 'three dimensional', 'responsive delivery', 'signaling three', 'cell following', 'enhance vascularization', 'cell aggregate', 'tracking hypoxic', 'brougham cook', 'culture oxygenation', 'oxygenation differentially', 'administered orally', 'design cell', 'tipton', 'rucker', 'hydrogel material', 'expand spectrum', 'pancreatic islet'}"
14,"Boltin, Nicholas D.","{'predictive modeling', 'data mining', 'glean information', 'mass casualty', 'valdes', 'incident edit', 'design evaluate translational informatic tool created deploy sophisticated algorithm using latest software development human computer interaction boltin', 'application dimensional', 'network improve', 'focus developing', 'statistic', 'dimension reduction', 'article press', 'study jmir', 'focus categorized', 'initial study', 'valafar mobile decision support tool emergency department mass casualty incident edit initial study jmir mhealth uhealth', 'well predictive modeling two', 'jmir mhealth', 'including data', 'latest software', 'software development', 'supervised unsupervised', 'sophisticated algorithm', 'employ technique', 'department triage', 'mobile decision', 'science focus', 'created deploy', 'support tool', 'triage chemical', 'algorithm using', 'information data', 'unsupervised machine', 'system healthcare', 'incident article', 'using latest', 'culley jm', 'development human', 'casualty incident', 'artificial neural', 'science computer', 'broad area', 'culley', 'interdisciplinary field', 'improve emergency', 'science interdisciplinary', 'department mass', 'dr boltin', 'tool emergency', 'valafar application dimensional reduction artificial neural network improve emergency department triage chemical mass casualty incident article press boltin', 'mhealth uhealth', 'technique including', 'developing decision', 'discipline mathematics', 'reduction artificial', 'interaction boltin', 'valafar application', 'chemical mass', 'dr boltin focus developing decision support system healthcare industry data science interdisciplinary field employ technique many discipline mathematics', 'translational informatic', 'two broad', 'industry data', 'informatic tool', 'deploy sophisticated', 'healthcare industry', 'well predictive', 'decision support', 'information science computer science focus categorized two broad area one', 'design evaluate', 'technique many', 'categorized two', 'many discipline', 'area one', 'tool created', 'support system', 'press boltin', 'modeling two', 'machine learning', 'statistical analysis', 'emergency department', 'supervised unsupervised machine learning', 'computer interaction', 'field employ', 'glean information data utilizing analytical technique including data mining', 'information science', 'evaluate translational', 'neural network', 'valafar mobile', 'boltin focus', 'utilizing analytical', 'data science', 'dimensional reduction', 'edit initial', 'analytical technique', 'data utilizing', 'human computer', 'computer science'}"
15,"Booth, Kristen","{'medium frequency transformer optimization', 'frequency transformer', 'power electronics', 'power grid', 'medium frequency', 'power grid resiliency', 'transformer optimization', 'electronics reliability', 'grid resiliency', 'power electronics reliability'}"
16,"Brookshire, Robert G., Ph.D.","{'european journal operational', 'co author', 'taught new', 'performance journal itec record managementitec mainframe systemsitec linux programming administration', 'article appeared', 'north texas', 'organizational system', 'columbia', 'sc robert brookshire professor integrated information technology department college engineering computing', 'legislative study', 'european journal', 'journal past', 'system association', 'editor information', 'managementitec mainframe', 'appeared journal', 'journal past president organizational system association editor information technology', 'innovation assembly street', 'social science computer review', 'director master', 'article appeared journal computer information system', 'suite', 'master health', 'learning', 'sage publication', 'study quarterly', 'sc director master health information technology program ha taught new york', 'integrated information', 'james madison', 'journal computer', 'health information', 'author using', 'innovation assembly', 'president organizational', 'department college', 'virginia', 'texas state', 'college engineering', 'past president', 'record managementitec', 'programming administration', 'james madison co author using microcomputer sage publication', 'assembly street', 'information technology', 'professor integrated', 'technology program', 'linux programming', 'technology department', 'legislative study quarterly', 'information system', 'mainframe systemsitec', 'sc director', 'ha taught', 'brookshire professor', 'journal itec', 'association editor', 'computer review', 'social science', 'new york', 'science computer', 'performance journal', 'sc robert', 'engineering computing', 'computer information', 'north texas state', 'microcomputer sage', 'program ha', 'robert brookshire', 'madison co', 'byte', 'using microcomputer', 'journal operational', 'systemsitec linux', 'itec record'}"
17,"Broughton, Earnie","{'lead software', 'practice responsibility', 'gathering stakeholder', 'earnie lead software developer virtual test bed vtb smart ship system design project addition writing code', 'development team', 'smart ship', 'esrdc consortium', 'virtual test', 'daily activity', 'vtb smart', 'test bed', 'student programming', 'consortium education', 'project addition', 'design project', 'activity development', 'including mentoring', 'development best', 'software developer', 'industry requirement', 'writing code', 'responsibility gathering', 'professional development', 'plan integrating', 'developer virtual', 'mentoring student', 'team project', 'private industry', 'best practice', 'private industry requirement developing plan integrating requirement consortium education', 'system design', 'bed vtb', 'integrating requirement', 'requirement developing', 'programming professional', 'supervises daily', 'ship system', 'developing plan', 'including mentoring student programming professional development best practice responsibility gathering stakeholder navy', 'earnie lead', 'supervises daily activity development team project', 'addition writing', 'requirement consortium', 'stakeholder navy'}"
